Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP001358,Male,Yes,2,Graduate,Yes,13155.0,1850.0,0.0,325.0,0.0,Rural
LP002527,Female,Yes,3+,Not Graduate,No,4722.0,68.0,38.0,368.0,1.0,Semiurban
LP001452,Male,No,0,Graduate,Yes,3909.0,2095.0,237.0,356.0,2.0,Rural
LP002969,Female,Yes,0,Graduate,No,2873.0,0.0,174.0,445.0,1.0,Semiurban
LP001950,Male,No,1,Not Graduate,No,7185.0,2926.0,282.0,427.0,1.0,Urban
LP001647,Male,No,3+,Not Graduate,No,13756.0,2102.0,140.0,310.0,1.0,Rural
LP002870,Female,No,0,Not Graduate,No,0.0,358.0,137.0,471.0,0.0,Semiurban
LP001375,Female,No,2,Not Graduate,Yes,6428.0,3301.0,159.0,404.0,1.0,Urban
LP002870,Male,No,1,Not Graduate,Yes,6181.0,3165.0,420.0,351.0,1.0,Urban
LP002820,Female,Yes,3+,Graduate,Yes,0.0,1852.0,224.0,299.0,1.0,Semiurban
LP002420,Female,Yes,0,Not Graduate,No,126.0,4014.0,77.0,338.0,0.0,Urban
LP002836,Male,No,0,Graduate,Yes,1293.0,4621.0,174.0,217.0,1.0,Semiurban
LP001807,Male,No,3+,Not Graduate,Yes,9531.0,0.0,154.0,378.0,1.0,Semiurban
LP002192,Male,No,1,Not Graduate,Yes,10527.0,4681.0,198.0,256.0,1.0,Semiurban
LP002619,Female,Yes,3+,Graduate,Yes,0.0,0.0,288.0,374.0,1.0,Semiurban
LP001469,Female,Yes,3+,Not Graduate,Yes,8820.0,3700.0,188.0,311.0,1.0,Urban
LP002543,Female,No,1,Graduate,Yes,8084.0,4177.0,114.0,351.0,1.0,Semiurban
LP002118,Female,Yes,0,Graduate,No,8474.0,1127.0,287.0,302.0,1.0,Semiurban
LP001185,Male,Yes,2,Graduate,No,6050.0,1457.0,41.0,295.0,1.0,Semiurban
LP001043,Female,No,1,Not Graduate,Yes,10593.0,789.0,122.0,390.0,0.0,Urban
LP002264,Male,No,2,Not Graduate,No,11852.0,0.0,212.0,301.0,1.0,Rural
LP001577,Female,Yes,0,Not Graduate,No,0.0,0.0,81.0,283.0,1.0,Semiurban
LP001894,Male,Yes,3+,Not Graduate,Yes,4902.0,2952.0,139.0,274.0,1.0,Rural
LP002243,Male,Yes,2,Not Graduate,No,3730.0,3928.0,88.0,398.0,1.0,Rural
LP002949,Male,No,0,Not Graduate,Yes,1918.0,1563.0,140.0,269.0,1.0,Semiurban
LP002031,Female,No,0,Graduate,No,2591.0,0.0,88.0,343.0,1.0,Rural
LP001029,Male,No,3+,Not Graduate,Yes,6244.0,0.0,149.0,486.0,1.0,Rural
LP001800,Male,Yes,3+,Not Graduate,No,0.0,1313.0,117.0,297.0,1.0,Semiurban
LP001909,Female,Yes,0,Not Graduate,No,8999.0,168.0,245.0,291.0,1.0,Urban
LP002129,Male,No,0,Not Graduate,No,3078.0,4827.0,172.0,413.0,0.0,Rural
LP002832,Female,Yes,2,Graduate,No,10161.0,0.0,200.0,265.0,2.0,Semiurban
LP002568,Female,No,0,Graduate,Yes,1649.0,3226.0,154.0,413.0,1.0,Semiurban
LP002114,Male,Yes,0,Graduate,No,1341.0,0.0,109.0,317.0,1.0,Rural
LP001318,Male,No,2,Graduate,Yes,0.0,831.0,168.0,401.0,1.0,Rural
LP002187,Female,Yes,1,Graduate,Yes,1681.0,2070.0,158.0,371.0,1.0,Rural
LP002867,Male,Yes,2,Not Graduate,No,616.0,3015.0,0.0,380.0,1.0,Semiurban
LP002453,Female,No,2,Graduate,No,7656.0,2751.0,145.0,313.0,1.0,Semiurban
LP002368,Female,No,3+,Graduate,Yes,11143.0,80.0,195.0,317.0,0.0,Urban
LP002626,Female,No,2,Not Graduate,No,7389.0,1875.0,87.0,308.0,1.0,Urban
LP001906,Male,No,0,Not Graduate,Yes,4739.0,583.0,210.0,429.0,1.0,Semiurban
LP002806,Female,No,0,Graduate,No,7953.0,0.0,170.0,343.0,0.0,Urban
LP001100,Male,Yes,0,Not Graduate,Yes,4972.0,2224.0,112.0,469.0,0.0,Rural
LP001692,Male,No,1,Not Graduate,No,5343.0,5035.0,184.0,357.0,1.0,Urban
LP001265,Male,No,0,Graduate,No,3433.0,5800.0,114.0,330.0,1.0,Urban
LP002774,Male,No,1,Not Graduate,Yes,9944.0,2465.0,164.0,328.0,1.0,Semiurban
LP002813,Female,No,0,Graduate,Yes,0.0,2287.0,122.0,297.0,1.0,Semiurban
LP002402,Male,No,2,Graduate,Yes,0.0,0.0,185.0,357.0,2.0,Rural
LP002243,Female,Yes,3+,Not Graduate,No,11030.0,9017.0,247.0,336.0,1.0,Urban
LP001003,Female,No,0,Graduate,No,4061.0,5492.0,109.0,302.0,1.0,Semiurban
LP002250,Male,No,1,Graduate,No,10404.0,3666.0,212.0,338.0,0.0,Semiurban
LP002833,Female,No,1,Not Graduate,No,1717.0,1798.0,119.0,310.0,1.0,Semiurban
LP001367,Female,Yes,3+,Not Graduate,Yes,14715.0,0.0,120.0,361.0,0.0,Rural
LP001867,Male,Yes,0,Not Graduate,Yes,4402.0,2098.0,112.0,389.0,2.0,Rural
LP002148,Female,No,2,Not Graduate,No,7739.0,1688.0,12.0,301.0,0.0,Urban
LP002529,Female,No,0,Graduate,No,2633.0,0.0,181.0,312.0,1.0,Rural
LP001471,Female,Yes,0,Not Graduate,No,71.0,2820.0,165.0,283.0,1.0,Urban
LP002296,Female,Yes,3+,Not Graduate,Yes,0.0,4964.0,155.0,416.0,1.0,Urban
LP001601,Male,Yes,0,Graduate,Yes,9654.0,2528.0,263.0,227.0,1.0,Urban
LP002792,Female,No,2,Graduate,No,7432.0,2519.0,271.0,299.0,1.0,Semiurban
LP001562,Female,No,1,Graduate,Yes,5713.0,2693.0,244.0,388.0,1.0,Semiurban
LP001677,Female,Yes,3+,Graduate,No,0.0,724.0,124.0,301.0,1.0,Semiurban
LP002870,Female,No,2,Not Graduate,No,13241.0,3664.0,120.0,299.0,1.0,Rural
LP001884,Male,Yes,1,Not Graduate,Yes,5783.0,5745.0,64.0,386.0,1.0,Semiurban
LP002375,Female,Yes,3+,Graduate,Yes,9183.0,1714.0,147.0,195.0,0.0,Urban
LP002107,Male,Yes,3+,Graduate,Yes,5163.0,0.0,143.0,344.0,1.0,Rural
LP001888,Female,No,1,Graduate,Yes,0.0,0.0,184.0,306.0,1.0,Rural
LP002455,Male,Yes,1,Graduate,No,10832.0,2964.0,60.0,308.0,1.0,Semiurban
LP002484,Male,Yes,2,Not Graduate,Yes,7747.0,3272.0,114.0,412.0,1.0,Semiurban
LP001589,Male,No,0,Graduate,Yes,4147.0,2591.0,11.0,341.0,1.0,Semiurban
LP001836,Male,Yes,0,Not Graduate,Yes,7650.0,961.0,87.0,267.0,1.0,Semiurban
LP001466,Male,No,0,Graduate,Yes,9836.0,2355.0,212.0,246.0,1.0,Rural
LP001949,Female,Yes,0,Not Graduate,No,8940.0,146.0,57.0,338.0,1.0,Rural
LP001584,Female,No,0,Not Graduate,No,0.0,0.0,278.0,253.0,1.0,Urban
LP001561,Female,Yes,2,Not Graduate,Yes,0.0,0.0,221.0,421.0,1.0,Rural
LP001737,Male,Yes,3+,Not Graduate,Yes,9353.0,0.0,181.0,270.0,1.0,Rural
LP002112,Female,Yes,2,Graduate,No,1215.0,3044.0,246.0,341.0,-0.0,Semiurban
LP002440,Male,Yes,2,Not Graduate,No,0.0,870.0,133.0,216.0,0.0,Urban
LP001164,Male,Yes,2,Graduate,Yes,7299.0,0.0,85.0,219.0,1.0,Rural
LP002009,Female,No,3+,Not Graduate,No,0.0,0.0,135.0,329.0,1.0,Semiurban
LP002735,Female,No,2,Not Graduate,No,2451.0,3426.0,9.0,550.0,0.0,Semiurban
LP001722,Male,Yes,2,Graduate,No,10034.0,4510.0,235.0,306.0,1.0,Urban
LP001822,Male,Yes,3+,Graduate,No,0.0,0.0,115.0,387.0,0.0,Rural
LP001643,Female,Yes,2,Not Graduate,Yes,0.0,1263.0,84.0,310.0,1.0,Rural
LP002225,Female,No,0,Not Graduate,No,0.0,0.0,93.0,408.0,1.0,Rural
LP002571,Female,No,1,Graduate,No,275.0,1216.0,144.0,336.0,1.0,Rural
LP001119,Female,Yes,2,Not Graduate,Yes,5651.0,3255.0,152.0,261.0,1.0,Urban
LP001541,Male,No,1,Graduate,Yes,1656.0,6002.0,131.0,326.0,1.0,Semiurban
LP001030,Female,Yes,2,Graduate,Yes,13742.0,387.0,131.0,226.0,1.0,Semiurban
LP002099,Female,Yes,2,Graduate,No,7773.0,3505.0,185.0,284.0,1.0,Urban
LP001222,Female,Yes,0,Not Graduate,Yes,5073.0,3571.0,57.0,367.0,0.0,Rural
LP002344,Male,No,3+,Not Graduate,No,12398.0,1191.0,160.0,300.0,1.0,Semiurban
LP002256,Male,Yes,1,Graduate,Yes,0.0,4756.0,118.0,314.0,1.0,Rural
LP002689,Male,Yes,3+,Graduate,No,10115.0,711.0,0.0,403.0,1.0,Semiurban
LP002126,Male,Yes,0,Graduate,Yes,3834.0,2786.0,59.0,310.0,1.0,Rural
LP001451,Female,No,0,Graduate,Yes,2587.0,42.0,81.0,376.0,1.0,Urban
LP001187,Male,No,1,Not Graduate,No,8660.0,3047.0,272.0,303.0,1.0,Rural
LP002517,Female,No,3+,Graduate,Yes,2831.0,2774.0,178.0,402.0,-0.0,Rural
LP001207,Female,Yes,0,Not Graduate,Yes,6216.0,4830.0,163.0,427.0,1.0,Urban
LP001492,Female,No,2,Graduate,Yes,4611.0,6592.0,105.0,214.0,1.0,Urban
LP002600,Female,Yes,2,Not Graduate,Yes,6925.0,4092.0,103.0,278.0,1.0,Rural
LP002933,Male,No,2,Not Graduate,Yes,2292.0,3425.0,51.0,327.0,1.0,Rural
LP002262,Male,Yes,3+,Not Graduate,No,10458.0,540.0,117.0,298.0,1.0,Rural
LP001332,Male,No,2,Not Graduate,No,0.0,0.0,249.0,398.0,1.0,Semiurban
LP002345,Female,Yes,2,Not Graduate,Yes,8830.0,5132.0,40.0,356.0,1.0,Rural
LP001931,Female,No,0,Graduate,Yes,0.0,6648.0,97.0,281.0,1.0,Semiurban
LP002224,Female,No,0,Graduate,No,889.0,2453.0,214.0,434.0,1.0,Semiurban
LP001878,Female,No,2,Not Graduate,No,8155.0,0.0,214.0,433.0,0.0,Semiurban
LP002556,Female,Yes,2,Graduate,Yes,0.0,5348.0,87.0,256.0,1.0,Urban
LP001765,Male,No,0,Graduate,No,6128.0,4606.0,233.0,303.0,1.0,Urban
LP001119,Female,No,1,Graduate,Yes,0.0,0.0,109.0,397.0,1.0,Semiurban
LP001073,Male,No,3+,Graduate,Yes,0.0,1984.0,54.0,403.0,1.0,Semiurban
LP001487,Female,No,3+,Graduate,Yes,0.0,2262.0,259.0,434.0,1.0,Semiurban
LP001674,Female,Yes,0,Graduate,Yes,0.0,0.0,150.0,503.0,1.0,Urban
LP002257,Male,No,3+,Graduate,No,0.0,0.0,130.0,369.0,1.0,Urban
LP001923,Male,Yes,0,Not Graduate,No,16975.0,4570.0,156.0,425.0,1.0,Urban
LP002766,Female,Yes,0,Graduate,No,4141.0,1792.0,67.0,516.0,1.0,Semiurban
LP001097,Female,Yes,0,Graduate,Yes,0.0,0.0,99.0,341.0,1.0,Semiurban
LP001144,Female,Yes,0,Graduate,No,1978.0,0.0,254.0,291.0,1.0,Rural
LP002615,Female,No,1,Not Graduate,Yes,5389.0,0.0,286.0,359.0,1.0,Rural
LP002308,Male,Yes,2,Not Graduate,Yes,3023.0,1807.0,56.0,446.0,1.0,Urban
LP002862,Female,Yes,2,Graduate,No,0.0,3647.0,112.0,460.0,1.0,Urban
LP001591,Male,Yes,1,Not Graduate,Yes,59.0,4801.0,143.0,352.0,1.0,Rural
LP002062,Female,Yes,3+,Not Graduate,Yes,11933.0,0.0,158.0,331.0,1.0,Urban
LP001334,Male,No,3+,Graduate,Yes,0.0,640.0,69.0,259.0,0.0,Semiurban
LP001361,Male,No,2,Not Graduate,No,0.0,2964.0,193.0,347.0,1.0,Rural
LP002402,Female,Yes,3+,Graduate,Yes,2970.0,4192.0,199.0,265.0,1.0,Semiurban
LP001587,Male,Yes,2,Not Graduate,No,0.0,2610.0,208.0,279.0,0.0,Rural
LP002768,Female,Yes,2,Graduate,Yes,0.0,5048.0,201.0,358.0,1.0,Rural
LP002879,Male,No,1,Not Graduate,No,0.0,6542.0,149.0,259.0,1.0,Urban
LP001655,Female,No,3+,Graduate,Yes,0.0,0.0,219.0,365.0,1.0,Semiurban
LP002984,Male,No,1,Graduate,No,5576.0,5732.0,185.0,404.0,0.0,Semiurban
LP002806,Female,No,2,Not Graduate,No,6644.0,5132.0,28.0,274.0,1.0,Semiurban
LP002484,Female,No,2,Graduate,Yes,590.0,0.0,28.0,304.0,1.0,Semiurban
LP001174,Male,Yes,2,Graduate,Yes,4642.0,2863.0,166.0,248.0,2.0,Urban
LP001855,Male,No,0,Not Graduate,Yes,306.0,3331.0,242.0,381.0,1.0,Semiurban
LP001008,Male,No,0,Graduate,Yes,7463.0,0.0,177.0,245.0,0.0,Urban
LP001726,Male,Yes,0,Graduate,No,0.0,1436.0,188.0,388.0,0.0,Rural
LP002615,Female,No,1,Not Graduate,Yes,6121.0,2027.0,61.0,361.0,1.0,Semiurban
LP001842,Male,No,2,Graduate,No,6553.0,0.0,148.0,483.0,1.0,Urban
LP002281,Female,No,3+,Not Graduate,Yes,18483.0,680.0,231.0,451.0,1.0,Rural
LP002400,Male,Yes,1,Graduate,No,0.0,5411.0,177.0,265.0,1.0,Semiurban
LP002018,Female,No,1,Not Graduate,No,20305.0,6178.0,151.0,461.0,1.0,Semiurban
LP002263,Female,Yes,1,Not Graduate,No,9489.0,0.0,189.0,307.0,2.0,Urban
LP001693,Female,Yes,3+,Graduate,Yes,15587.0,0.0,160.0,290.0,1.0,Rural
LP001030,Female,No,2,Not Graduate,Yes,10335.0,4966.0,233.0,309.0,0.0,Rural
LP002346,Male,No,0,Graduate,No,0.0,6557.0,160.0,323.0,1.0,Rural
LP002788,Male,No,2,Graduate,No,8926.0,3986.0,140.0,483.0,-0.0,Rural
LP002550,Female,No,2,Not Graduate,No,1389.0,822.0,61.0,159.0,1.0,Semiurban
LP002478,Male,Yes,1,Graduate,No,4678.0,0.0,237.0,463.0,1.0,Rural
LP001407,Male,No,1,Graduate,No,0.0,3279.0,70.0,396.0,1.0,Urban
LP002863,Female,Yes,1,Not Graduate,Yes,1315.0,4469.0,161.0,353.0,1.0,Urban
LP002376,Male,Yes,0,Graduate,No,10288.0,0.0,205.0,303.0,1.0,Semiurban
LP001667,Male,Yes,0,Graduate,Yes,7674.0,2350.0,281.0,336.0,0.0,Urban
LP001798,Male,Yes,0,Not Graduate,Yes,11013.0,420.0,160.0,398.0,1.0,Semiurban
LP002821,Female,Yes,2,Graduate,Yes,0.0,3652.0,250.0,405.0,1.0,Rural
LP001326,Male,No,1,Graduate,No,0.0,0.0,145.0,288.0,1.0,Semiurban
LP002572,Female,Yes,3+,Not Graduate,No,11454.0,2680.0,99.0,393.0,1.0,Rural
LP001622,Male,Yes,2,Graduate,No,11032.0,607.0,357.0,304.0,1.0,Urban
LP002543,Male,No,0,Graduate,No,6385.0,6583.0,48.0,331.0,1.0,Semiurban
LP002308,Male,No,3+,Not Graduate,Yes,7567.0,2450.0,369.0,428.0,1.0,Rural
LP001765,Female,Yes,3+,Graduate,Yes,10106.0,3526.0,269.0,394.0,1.0,Semiurban
LP001737,Female,Yes,1,Graduate,Yes,6214.0,0.0,98.0,237.0,1.0,Rural
LP001220,Male,No,3+,Not Graduate,No,8236.0,1000.0,193.0,351.0,1.0,Semiurban
LP001581,Female,Yes,0,Not Graduate,No,9820.0,2674.0,34.0,370.0,1.0,Semiurban
LP002741,Male,No,1,Graduate,No,4647.0,625.0,188.0,352.0,1.0,Semiurban
LP001106,Female,No,3+,Graduate,No,3212.0,943.0,167.0,178.0,1.0,Semiurban
LP002697,Female,Yes,1,Not Graduate,No,7356.0,2317.0,210.0,254.0,0.0,Rural
LP001552,Male,No,3+,Graduate,No,18077.0,0.0,111.0,227.0,1.0,Rural
LP002256,Male,Yes,2,Graduate,Yes,352.0,176.0,155.0,301.0,1.0,Semiurban
LP001450,Male,Yes,2,Graduate,Yes,2727.0,3746.0,179.0,351.0,1.0,Semiurban
LP001806,Male,Yes,0,Not Graduate,No,0.0,532.0,105.0,308.0,1.0,Urban
LP001279,Female,No,2,Graduate,Yes,7656.0,7955.0,251.0,302.0,1.0,Rural
LP002027,Female,Yes,2,Graduate,Yes,2162.0,1849.0,153.0,229.0,1.0,Rural
LP002874,Female,No,2,Not Graduate,Yes,0.0,0.0,169.0,261.0,1.0,Rural
LP001358,Male,Yes,3+,Not Graduate,Yes,4818.0,2809.0,78.0,280.0,1.0,Rural
LP002794,Male,Yes,3+,Not Graduate,No,13692.0,0.0,15.0,400.0,0.0,Urban
LP002862,Female,No,1,Graduate,Yes,3175.0,2526.0,38.0,370.0,1.0,Semiurban
LP002857,Male,Yes,3+,Graduate,No,3696.0,64.0,189.0,393.0,0.0,Semiurban
LP001183,Female,Yes,2,Not Graduate,No,13470.0,244.0,81.0,372.0,1.0,Semiurban
LP002027,Female,No,3+,Graduate,Yes,5151.0,4416.0,199.0,396.0,1.0,Urban
LP001073,Female,No,0,Graduate,No,0.0,0.0,271.0,253.0,0.0,Urban
LP001054,Female,No,1,Graduate,Yes,9104.0,283.0,202.0,429.0,1.0,Semiurban
LP002792,Female,Yes,1,Graduate,No,11584.0,0.0,176.0,410.0,1.0,Urban
LP002114,Male,No,3+,Not Graduate,No,4039.0,5237.0,193.0,318.0,0.0,Urban
LP002042,Male,No,2,Not Graduate,Yes,5923.0,653.0,228.0,405.0,0.0,Urban
LP002870,Male,Yes,1,Graduate,Yes,0.0,0.0,167.0,421.0,2.0,Urban
LP002097,Female,No,0,Not Graduate,No,222.0,2231.0,194.0,339.0,1.0,Semiurban
LP001153,Female,Yes,0,Graduate,Yes,3283.0,0.0,99.0,377.0,1.0,Urban
LP002622,Female,Yes,1,Graduate,No,5618.0,0.0,67.0,308.0,1.0,Semiurban
LP002131,Female,No,2,Not Graduate,Yes,1650.0,3478.0,103.0,428.0,1.0,Rural
LP002519,Male,Yes,2,Not Graduate,No,3068.0,0.0,117.0,313.0,1.0,Urban
LP001765,Male,No,3+,Graduate,No,4475.0,0.0,114.0,363.0,1.0,Rural
LP001647,Female,No,3+,Graduate,No,0.0,0.0,231.0,339.0,1.0,Rural
LP001750,Female,No,1,Graduate,No,3649.0,5803.0,0.0,304.0,1.0,Urban
LP002236,Female,No,3+,Graduate,No,11763.0,2813.0,126.0,231.0,1.0,Semiurban
LP002219,Male,Yes,3+,Not Graduate,Yes,1785.0,1516.0,200.0,400.0,1.0,Semiurban
LP001915,Male,Yes,3+,Not Graduate,No,49.0,1321.0,197.0,340.0,1.0,Semiurban
LP002870,Male,No,0,Graduate,Yes,17055.0,1938.0,79.0,461.0,1.0,Urban
LP001108,Female,No,3+,Graduate,Yes,6465.0,2270.0,277.0,421.0,1.0,Urban
LP001094,Female,Yes,1,Not Graduate,No,778.0,1943.0,35.0,420.0,0.0,Semiurban
LP002954,Male,No,2,Graduate,No,8845.0,6894.0,115.0,390.0,1.0,Semiurban
LP001703,Female,Yes,3+,Not Graduate,Yes,6638.0,408.0,119.0,391.0,1.0,Rural
LP001859,Male,No,2,Graduate,No,1933.0,2076.0,118.0,352.0,1.0,Rural
LP002158,Female,Yes,3+,Not Graduate,No,4901.0,1705.0,248.0,396.0,1.0,Urban
LP001499,Male,Yes,1,Graduate,Yes,3520.0,4156.0,144.0,313.0,1.0,Semiurban
LP002455,Female,Yes,0,Graduate,Yes,10818.0,0.0,167.0,183.0,0.0,Semiurban
LP002318,Male,No,1,Graduate,Yes,9060.0,605.0,211.0,388.0,1.0,Urban
LP001190,Male,No,0,Not Graduate,Yes,0.0,0.0,93.0,390.0,1.0,Semiurban
LP002036,Male,No,3+,Not Graduate,Yes,16017.0,4285.0,131.0,256.0,0.0,Urban
LP001338,Male,No,3+,Graduate,Yes,3538.0,0.0,272.0,376.0,0.0,Rural
LP001750,Male,No,0,Graduate,No,14989.0,3069.0,172.0,375.0,1.0,Semiurban
LP002118,Male,Yes,1,Graduate,Yes,9258.0,6172.0,58.0,412.0,1.0,Semiurban
LP001776,Female,Yes,1,Graduate,Yes,6593.0,6838.0,76.0,335.0,1.0,Urban
LP001361,Female,Yes,0,Not Graduate,No,4644.0,770.0,212.0,243.0,1.0,Urban
LP001270,Female,Yes,3+,Not Graduate,No,20891.0,662.0,55.0,311.0,1.0,Urban
LP002965,Male,Yes,0,Not Graduate,No,3633.0,1400.0,106.0,310.0,1.0,Urban
LP002172,Male,Yes,3+,Graduate,No,1356.0,4051.0,158.0,335.0,1.0,Rural
LP002205,Female,Yes,0,Graduate,No,1869.0,1243.0,144.0,350.0,1.0,Urban
LP001321,Male,No,3+,Not Graduate,No,5186.0,858.0,257.0,327.0,1.0,Semiurban
LP002964,Male,Yes,0,Graduate,Yes,5176.0,4518.0,0.0,368.0,1.0,Semiurban
LP002517,Male,No,2,Not Graduate,No,10898.0,1721.0,180.0,271.0,1.0,Semiurban
LP001770,Male,Yes,3+,Not Graduate,No,9498.0,1186.0,121.0,366.0,1.0,Semiurban
LP001413,Male,Yes,1,Not Graduate,No,9505.0,0.0,244.0,293.0,1.0,Rural
LP001391,Female,No,0,Not Graduate,No,3880.0,4394.0,124.0,329.0,1.0,Rural
LP002184,Female,Yes,1,Graduate,Yes,9033.0,2274.0,127.0,223.0,1.0,Rural
LP002587,Female,No,0,Not Graduate,No,9629.0,1570.0,142.0,404.0,1.0,Urban
LP002409,Female,Yes,1,Graduate,No,4728.0,0.0,91.0,322.0,1.0,Semiurban
LP002821,Female,No,1,Not Graduate,Yes,6770.0,4197.0,97.0,364.0,1.0,Semiurban
LP001882,Male,Yes,0,Not Graduate,Yes,9622.0,0.0,131.0,289.0,1.0,Rural
LP002634,Male,No,0,Not Graduate,Yes,6382.0,2831.0,270.0,306.0,1.0,Urban
LP002069,Male,No,1,Not Graduate,No,6926.0,0.0,104.0,279.0,0.0,Rural
LP002237,Male,Yes,1,Graduate,Yes,13193.0,0.0,89.0,353.0,1.0,Semiurban
LP002239,Female,Yes,1,Graduate,Yes,6427.0,4125.0,112.0,380.0,1.0,Semiurban
LP001391,Female,No,3+,Graduate,Yes,1719.0,1878.0,143.0,277.0,1.0,Rural
LP002984,Female,Yes,3+,Graduate,No,0.0,1713.0,281.0,351.0,1.0,Semiurban
LP001078,Male,No,2,Not Graduate,No,5824.0,6905.0,83.0,326.0,1.0,Rural
LP002856,Female,Yes,3+,Graduate,Yes,3292.0,6863.0,336.0,355.0,0.0,Rural
LP001265,Male,No,3+,Graduate,No,9783.0,931.0,178.0,284.0,1.0,Rural
LP001450,Female,Yes,0,Not Graduate,No,14165.0,0.0,65.0,372.0,1.0,Rural
LP001391,Female,No,2,Graduate,No,0.0,5446.0,100.0,324.0,1.0,Semiurban
LP001003,Male,Yes,2,Graduate,No,135.0,0.0,0.0,333.0,1.0,Urban
LP001169,Male,No,3+,Graduate,No,5042.0,2894.0,151.0,495.0,1.0,Semiurban
LP001734,Female,No,0,Graduate,Yes,624.0,874.0,224.0,227.0,1.0,Rural
LP002833,Female,Yes,0,Not Graduate,Yes,3915.0,1809.0,145.0,377.0,1.0,Semiurban
