Customer_ID,Age,Gender,Region,Marital_Status,Annual_Income,Smoker,Vehicle_Type,Policy_Type,Policy_Tenure_Years,Annual_Premium,Risk_Score,Has_Claim,Claim_Amount,Base_Premium
151,54,Male,Midwest,Divorced,74624,No,SUV,Premium,25,1630,26,No,0,1370
152,64,Male,South,Married,47362,No,Sports,Standard,21,1420,40,No,0,1020
153,31,Male,West,Divorced,62372,No,Truck,Standard,19,1025,17,No,0,855
154,20,Male,South,Single,35234,Yes,Sports,Standard,9,1830,43,No,0,1400
155,18,Male,West,Married,29024,No,SUV,Basic,28,510,12,No,0,390
156,22,Male,West,Single,29316,Yes,Sedan,Premium,3,2140,33,No,0,1810
157,43,Male,West,Married,86151,Yes,Truck,Premium,11,2435,52,Yes,5786,1915
158,72,Male,West,Married,119109,No,Sports,Standard,20,1590,53,Yes,2378,1060
159,31,Female,West,Married,46145,No,Sedan,Standard,29,1025,17,No,0,855
160,56,Male,Northeast,Single,117156,No,SUV,Basic,14,850,27,No,0,580
161,44,Female,Midwest,Married,80959,No,SUV,Basic,10,740,22,No,0,520
162,26,Male,West,Single,30304,Yes,Sedan,Basic,13,1380,35,No,0,1030
163,32,Female,West,Single,55161,No,SUV,Premium,6,1430,17,No,0,1260
164,32,Female,South,Single,35689,No,SUV,Basic,23,630,17,No,0,460
165,43,Male,Midwest,Single,82625,No,SUV,Basic,29,735,22,No,0,515
166,59,Female,Midwest,Single,119110,No,SUV,Basic,13,875,28,No,0,595
167,30,Female,Midwest,Single,29292,No,Sports,Standard,25,1120,27,No,0,850
168,68,Female,West,Single,107146,No,Sedan,Standard,7,1360,32,No,0,1040
169,49,Male,South,Married,66374,No,Sedan,Premium,13,1585,24,No,0,1345
170,56,Female,Midwest,Married,63164,Yes,SUV,Basic,22,1650,47,No,0,1180
171,66,Female,South,Married,129613,No,SUV,Standard,5,1340,31,No,0,1030
172,69,Male,Northeast,Married,83351,No,Sedan,Premium,17,1765,32,No,0,1445
173,49,Female,Northeast,Single,60127,No,Sports,Premium,13,1685,34,No,0,1345
174,21,Female,South,Married,27096,No,Truck,Basic,7,535,13,No,0,405
175,47,Female,West,Single,48781,Yes,Sports,Basic,3,1665,53,No,0,1135
176,54,Male,Midwest,Married,89544,No,Sports,Basic,23,930,36,No,0,570
177,40,Female,Northeast,Single,50198,No,Truck,Standard,11,1110,21,No,0,900
178,56,Male,Northeast,Married,85519,No,SUV,Standard,4,1250,27,No,0,980
179,62,Female,South,Married,85767,No,Sports,Standard,12,1400,39,No,0,1010
180,32,Female,West,Divorced,58591,Yes,SUV,Standard,18,1930,47,Yes,4550,1460
181,60,Female,South,Single,105112,Yes,Truck,Standard,21,2090,49,No,0,1600
182,46,Female,South,Divorced,70262,No,Sports,Standard,11,1260,33,No,0,930
183,53,Male,South,Married,70115,No,Truck,Standard,17,1225,26,No,0,965
184,30,Female,South,Divorced,36701,No,Sedan,Basic,5,620,17,No,0,450
185,49,Male,South,Married,55563,No,SUV,Standard,28,1185,24,No,0,945
186,24,Female,West,Married,32630,No,Sports,Standard,5,1060,24,No,0,820
187,68,Male,South,Married,66159,No,Sedan,Basic,16,960,32,No,0,640
188,39,Female,West,Married,54172,No,Sports,Standard,25,1295,40,Yes,12727,895
189,45,Female,Midwest,Married,76081,No,SUV,Premium,29,1555,23,No,0,1325
190,19,Male,Midwest,Married,26015,Yes,SUV,Premium,15,2115,32,No,0,1795
191,59,Male,Midwest,Married,59505,No,Sedan,Premium,11,1675,28,No,0,1395
192,62,Male,Midwest,Married,87966,No,SUV,Premium,4,1700,29,No,0,1410
193,74,Male,Northeast,Married,123155,Yes,Truck,Premium,13,2610,54,No,0,2070
194,70,Female,West,Single,119563,No,Truck,Standard,15,1480,43,Yes,5414,1050
195,23,Male,Midwest,Single,24248,No,Sedan,Standard,4,955,14,No,0,815
196,45,Male,Northeast,Married,78532,No,Truck,Standard,7,1155,23,No,0,925
197,45,Male,West,Married,76898,No,SUV,Premium,6,1555,23,No,0,1325
198,61,Female,Northeast,Single,83747,No,Sedan,Premium,24,1695,29,No,0,1405
199,61,Female,Northeast,Married,103111,No,Sports,Basic,26,995,39,No,0,605
200,37,Female,South,Married,41046,No,Truck,Premium,25,1475,19,No,0,1285
201,47,Female,Northeast,Single,33076,Yes,Sedan,Basic,12,1565,43,No,0,1135
202,28,Male,Northeast,Married,35488,No,Sedan,Standard,2,1000,16,No,0,840
203,72,Female,West,Married,105449,No,SUV,Standard,13,1390,33,No,0,1060
204,45,Male,Northeast,Married,68142,No,SUV,Basic,16,755,23,No,0,525
205,42,Female,South,Married,26328,Yes,Sedan,Standard,29,1920,41,No,0,1510
206,56,Male,Midwest,Single,82271,No,Truck,Standard,6,1250,27,No,0,980
207,50,Male,Midwest,Married,68194,No,Truck,Standard,8,1200,25,No,0,950
208,18,Male,West,Married,35346,No,Sedan,Standard,9,910,12,No,0,790
209,74,Male,West,Married,116766,No,Sedan,Premium,9,1810,34,No,0,1470
210,44,Male,Northeast,Single,70351,Yes,Sports,Standard,22,2040,52,No,0,1520
211,74,Female,West,Married,121697,No,Sports,Basic,12,1210,54,Yes,10137,670
212,69,Male,Northeast,Married,139085,No,Truck,Premium,28,1765,32,No,0,1445
213,30,Male,West,Divorced,49275,No,SUV,Standard,9,1020,17,No,0,850
214,58,Male,Midwest,Single,110049,No,Sports,Basic,22,970,38,No,0,590
215,20,Male,Midwest,Single,20000,No,Sedan,Standard,25,930,13,No,0,800
216,56,Female,Midwest,Single,113756,No,Sports,Standard,5,1350,37,No,0,980
217,23,Female,Midwest,Married,30212,No,SUV,Premium,20,1355,14,No,0,1215
218,25,Male,Northeast,Single,31966,No,SUV,Basic,13,575,15,No,0,425
219,44,Male,Northeast,Divorced,70092,No,SUV,Standard,4,1140,22,No,0,920
220,26,Male,Northeast,Single,37263,No,Sedan,Basic,12,580,15,No,0,430
221,54,Male,Midwest,Married,77010,No,Truck,Premium,7,1630,26,No,0,1370
222,50,Female,South,Married,83560,No,SUV,Standard,8,1200,25,No,0,950
223,68,Female,Midwest,Married,87640,Yes,SUV,Premium,19,2660,62,Yes,1278,2040
224,59,Male,Midwest,Divorced,95202,No,Truck,Standard,9,1275,28,No,0,995
225,61,Male,South,Married,58885,No,Truck,Standard,0,1295,29,No,0,1005
226,41,Male,South,Single,68212,No,SUV,Standard,4,1115,21,No,0,905
227,32,Male,West,Single,51529,No,SUV,Standard,19,1030,17,No,0,860
228,71,Male,Midwest,Divorced,95964,Yes,Sedan,Standard,3,2185,53,No,0,1655
229,49,Female,South,Divorced,57308,No,Sedan,Standard,0,1185,24,No,0,945
230,49,Female,West,Single,61057,No,Truck,Premium,18,1585,24,No,0,1345
231,41,Male,South,Married,53202,No,SUV,Standard,18,1115,21,No,0,905
232,58,Female,South,Married,73200,No,Truck,Standard,23,1270,28,No,0,990
233,69,Female,West,Married,102983,No,Truck,Basic,28,965,32,No,0,645
234,66,Female,Midwest,Divorced,104224,No,Sports,Premium,21,1840,41,No,0,1430
235,66,Male,West,Single,105744,No,Sedan,Standard,21,1340,31,No,0,1030
236,69,Female,Midwest,Married,86461,No,Sports,Standard,14,1565,52,Yes,9908,1045
237,29,Female,South,Married,46829,No,Sports,Basic,10,705,26,No,0,445
238,56,Male,West,Married,56442,No,Truck,Standard,21,1250,27,No,0,980
239,19,Female,Northeast,Married,20000,No,Sedan,Premium,23,1315,12,No,0,1195
240,20,Male,South,Married,34726,Yes,Sports,Standard,4,1930,53,Yes,903,1400
241,66,Female,West,Single,68321,No,Sedan,Standard,2,1340,31,No,0,1030
242,54,Male,South,Married,49387,Yes,Sports,Premium,16,2530,56,No,0,1970
243,66,Male,West,Married,62429,No,Sports,Premium,15,1840,41,No,0,1430
244,73,Female,Midwest,Single,116229,No,Truck,Premium,27,1805,34,No,0,1465
245,34,Female,Northeast,Single,52832,Yes,Sedan,Basic,7,1450,38,No,0,1070
246,66,Male,South,Married,106474,No,Sports,Standard,25,1440,41,No,0,1030
247,19,Male,Northeast,Single,29936,No,SUV,Standard,19,915,12,No,0,795
248,19,Female,Midwest,Married,24694,Yes,SUV,Standard,2,1815,42,Yes,1653,1395
249,45,Female,West,Married,59315,No,Sedan,Premium,11,1555,23,No,0,1325
250,71,Female,Northeast,Single,67504,No,SUV,Basic,7,985,33,No,0,655
251,40,Female,West,Married,68476,No,Truck,Premium,14,1510,21,No,0,1300
252,54,Male,Midwest,Married,85059,No,Sedan,Standard,10,1230,26,No,0,970
253,49,Male,South,Married,58483,No,SUV,Standard,12,1185,24,No,0,945
254,50,Male,Midwest,Single,98301,Yes,Sedan,Standard,25,2000,45,No,0,1550
255,18,Female,Northeast,Divorced,20000,No,Truck,Standard,22,910,12,No,0,790
256,36,Female,Northeast,Married,57085,No,Sedan,Premium,7,1470,19,No,0,1280
257,19,Male,Northeast,Single,20000,No,SUV,Standard,12,915,12,No,0,795
258,70,Male,West,Married,79954,No,Truck,Premium,15,1780,33,No,0,1450
259,61,Male,South,Married,57511,No,Truck,Standard,17,1395,39,Yes,18333,1005
260,43,Male,Northeast,Married,74643,No,Truck,Basic,15,735,22,No,0,515
261,49,Male,Northeast,Divorced,108096,No,Truck,Standard,12,1185,24,No,0,945
262,23,Male,Northeast,Single,26698,Yes,Sports,Standard,13,1855,44,No,0,1415
263,49,Female,Midwest,Married,61426,Yes,Truck,Premium,7,2385,44,No,0,1945
264,72,Male,Northeast,Divorced,159959,No,Truck,Premium,28,1790,33,No,0,1460
265,21,Male,Midwest,Married,26583,No,Sports,Standard,19,1035,23,No,0,805
266,72,Male,Northeast,Married,140876,Yes,Truck,Standard,1,2190,53,No,0,1660
267,28,Male,Midwest,Married,48409,No,SUV,Standard,19,1000,16,No,0,840
268,73,Male,West,Single,124976,No,Sedan,Standard,7,1405,34,No,0,1065
269,34,Male,West,Married,70299,Yes,Sedan,Standard,28,1850,38,No,0,1470
270,55,Male,Midwest,Divorced,93605,No,Sedan,Premium,27,1645,27,No,0,1375
271,41,Female,South,Single,42206,Yes,Truck,Basic,26,1515,41,No,0,1105
272,22,Male,South,Married,26897,No,Sports,Standard,5,1040,23,No,0,810
273,69,Female,Midwest,Divorced,82250,Yes,Sedan,Premium,12,2565,52,No,0,2045
274,51,Female,West,Single,63685,No,Sports,Standard,2,1305,35,No,0,955
275,23,Female,Midwest,Married,42095,Yes,Sedan,Standard,6,1755,34,No,0,1415
276,39,Male,South,Married,48005,No,Sedan,Premium,5,1495,20,No,0,1295
277,28,Male,Midwest,Single,44827,No,Truck,Basic,4,600,16,No,0,440
278,65,Male,West,Single,86743,No,Truck,Standard,26,1335,31,No,0,1025
279,33,Male,South,Single,54302,No,Sports,Premium,15,1545,28,No,0,1265
280,50,Male,South,Married,57071,No,Sedan,Premium,21,1600,25,No,0,1350
281,26,Male,Northeast,Single,51450,Yes,SUV,Premium,2,2180,35,No,0,1830
282,23,Male,Northeast,Married,45915,No,SUV,Basic,4,555,14,No,0,415
283,33,Male,South,Single,41179,No,Sedan,Premium,2,1445,18,No,0,1265
284,46,Male,South,Single,62727,No,Sedan,Standard,14,1160,23,No,0,930
285,20,Male,Midwest,Divorced,26032,No,SUV,Premium,1,1330,13,No,0,1200
286,37,Female,West,Single,63799,No,Sedan,Basic,14,675,19,No,0,485
287,53,Male,South,Married,84949,No,Sports,Standard,26,1325,36,No,0,965
288,36,Male,West,Single,47352,No,Sedan,Premium,12,1470,19,No,0,1280
289,43,Male,South,Single,54130,No,Truck,Premium,29,1535,22,No,0,1315
290,20,Female,West,Married,37296,No,Truck,Basic,1,530,13,No,0,400
291,36,Male,Northeast,Married,60622,No,SUV,Basic,17,670,19,No,0,480
292,37,Male,South,Married,60824,No,Sedan,Premium,9,1575,29,Yes,1962,1285
293,49,Female,Midwest,Married,92559,No,Truck,Standard,3,1185,24,No,0,945
294,24,Male,West,Single,35347,No,Sedan,Basic,1,560,14,No,0,420
295,69,Female,South,Single,132188,No,Sports,Standard,29,1465,42,No,0,1045
296,58,Female,Northeast,Married,87309,No,Truck,Basic,19,870,28,No,0,590
297,50,Female,Northeast,Married,64847,No,SUV,Basic,29,800,25,No,0,550
298,57,Female,Northeast,Married,83955,No,Sedan,Premium,24,1655,27,No,0,1385
299,56,Male,Northeast,Single,72090,Yes,SUV,Basic,13,1650,47,No,0,1180
300,35,Female,South,Single,41896,No,Truck,Basic,2,665,19,No,0,475
301,57,Female,Midwest,Married,66235,No,Truck,Standard,11,1255,27,No,0,985
302,18,Male,West,Single,20000,No,Truck,Standard,4,910,12,No,0,790
303,28,Male,Midwest,Married,41808,No,Sports,Standard,1,1200,36,Yes,613,840
304,45,Male,West,Single,73447,No,Sports,Premium,13,1655,33,No,0,1325
305,74,Female,Midwest,Divorced,78850,No,Truck,Basic,28,1010,34,No,0,670
306,42,Male,South,Divorced,46171,No,Sedan,Premium,22,1520,21,No,0,1310
307,67,Female,South,Married,95155,Yes,Sports,Standard,25,2245,61,No,0,1635
308,40,Female,West,Married,70700,No,Truck,Standard,29,1110,21,No,0,900
309,48,Male,South,Married,62023,No,Sedan,Basic,4,780,24,No,0,540
310,47,Male,West,Married,81606,No,SUV,Standard,6,1165,23,No,0,935
311,59,Male,Midwest,Divorced,120612,No,Sports,Basic,14,975,38,No,0,595
312,52,Male,South,Married,50769,No,Truck,Standard,18,1210,25,No,0,960
313,24,Male,South,Single,50091,Yes,Sports,Standard,21,1860,44,No,0,1420
314,33,Male,West,Divorced,65195,No,Sedan,Standard,18,1045,18,No,0,865
315,43,Female,West,Married,65421,No,Sedan,Premium,16,1535,22,No,0,1315
316,65,Female,West,Married,130738,No,Sedan,Standard,15,1335,31,No,0,1025
317,74,Male,West,Divorced,118176,Yes,Sports,Basic,7,1910,64,No,0,1270
318,69,Female,Northeast,Divorced,77359,Yes,Truck,Basic,12,1865,62,Yes,11658,1245
319,66,Female,West,Single,78066,No,Sedan,Premium,24,1740,31,No,0,1430
320,19,Female,Northeast,Married,22397,No,Sports,Basic,20,615,22,No,0,395
321,18,Female,Midwest,Married,32126,No,SUV,Standard,10,910,12,No,0,790
322,65,Female,West,Married,117824,No,Sports,Basic,0,1035,41,No,0,625
323,29,Female,Northeast,Single,54642,No,Sports,Standard,17,1105,26,No,0,845
324,22,Male,Northeast,Single,27748,Yes,SUV,Standard,23,1740,33,No,0,1410
325,54,Male,Northeast,Single,109623,No,SUV,Standard,29,1230,26,No,0,970
326,49,Male,South,Single,72105,No,SUV,Standard,29,1185,24,No,0,945
327,72,Female,Northeast,Single,144632,No,SUV,Standard,6,1390,33,No,0,1060
328,26,Male,West,Single,41604,No,Sedan,Premium,26,1380,15,No,0,1230
329,58,Male,West,Married,73981,No,Truck,Standard,19,1270,28,No,0,990
330,52,Male,West,Single,92703,No,SUV,Standard,26,1210,25,No,0,960
331,36,Female,Northeast,Married,55013,No,Truck,Basic,2,670,19,No,0,480
332,65,Male,Northeast,Married,50233,No,Truck,Basic,19,935,31,No,0,625
333,33,Female,South,Married,47363,No,Sedan,Standard,20,1045,18,No,0,865
334,20,Male,Midwest,Single,21672,No,Truck,Basic,15,530,13,No,0,400
335,37,Male,South,Single,57484,No,SUV,Standard,3,1075,19,No,0,885
336,41,Male,West,Married,69872,Yes,Sports,Basic,12,1615,51,No,0,1105
